nom,classe,matiere_1,matiere_2
eleve01,TA,SC. ECONO.& SOCIALES,MATHEMATIQUES
eleve02,TA,MATHEMATIQUES,NUMERIQUE SC.INFORM.
eleve03,TA,MATHEMATIQUES,PHYSIQUE-CHIMIE
eleve04,TA,MATHEMATIQUES,PHYSIQUE-CHIMIE
eleve05,TA,MATHEMATIQUES,PHYSIQUE-CHIMIE
eleve06,TA,MATHEMATIQUES,PHYSIQUE-CHIMIE
eleve07,TA,MATHEMATIQUES,NUMERIQUE SC.INFORM.
eleve08,TA,MATHEMATIQUES,PHYSIQUE-CHIMIE
eleve09,TA,MATHEMATIQUES,NUMERIQUE SC.INFORM.
eleve10,TA,MATHEMATIQUES,NUMERIQUE SC.INFORM.
eleve11,TA,MATHEMATIQUES,NUMERIQUE SC.INFORM.
eleve12,TA,HIST.GEO.GEOPOL.S.P.,MATHEMATIQUES
eleve13,TA,PHYSIQUE-CHIMIE,MATHEMATIQUES
eleve14,TA,MATHEMATIQUES,PHYSIQUE-CHIMIE
eleve15,TA,MATHEMATIQUES,PHYSIQUE-CHIMIE
eleve16,TA,NUMERIQUE SC.INFORM.,MATHEMATIQUES
eleve17,TA,HIST.GEO.GEOPOL.S.P.,LITT. ANGLAIS
eleve18,TA,MATHEMATIQUES,PHYSIQUE-CHIMIE
eleve19,TA,MATHEMATIQUES,SCIENCES VIE & TERRE
eleve20,TA,MATHEMATIQUES,NUMERIQUE SC.INFORM.
eleve21,TA,NUMERIQUE SC.INFORM.,MATHEMATIQUES
eleve22,TA,MATHEMATIQUES,NUMERIQUE SC.INFORM.
eleve23,TA,NUMERIQUE SC.INFORM.,MATHEMATIQUES
eleve24,TA,NUMERIQUE SC.INFORM.,MATHEMATIQUES
eleve25,TA,SC. ECONO.& SOCIALES,MATHEMATIQUES
eleve26,TA,MATHEMATIQUES,SC. ECONO.& SOCIALES
eleve27,TA,PHYSIQUE-CHIMIE,NUMERIQUE SC.INFORM.
eleve28,TB,HIST.GEO.GEOPOL.S.P.,SC. ECONO.& SOCIALES
eleve29,TB,HIST.GEO.GEOPOL.S.P.,HUMAN.LITTER.PHILO.
